accession	length	genome_region	host	country	isolation	collection_date	release_date	name
KT805983	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/01	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-6674/2015 spike protein gene, complete cds
KT805985	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/07	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-8271/2015 spike protein gene, complete cds
KT805986	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/12	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-8527/2015 spike protein gene, complete cds
KT806047	30087	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/27	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-9158/2015, complete genome
KX154690	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/01	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-161RS1146/2016, complete genome
KU851859	30076	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/07/12	2016/06/27	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-3RS2702/2015, complete genome
KT806044	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/09	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C20843/2015, complete genome
KT806055	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/10	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C20860/2015, complete genome
KT805972	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/14	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C20934/2015 spike protein gene, complete cds
KT806045	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/22	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C21271/2015, complete genome
KT805993	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/05	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C21760/2015 spike protein gene, complete cds
KT805994	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/09	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C21864/2015 spike protein gene, complete cds
KT805995	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/20	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C22351/2015 spike protein gene, complete cds
KT805997	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/29	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C22744/2015 spike protein gene, complete cds
KT805998	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/29	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C22748/2015 spike protein gene, complete cds
KT805999	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/04/01	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-RS15/2015 spike protein gene, complete cds
KT806053	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2015/02/02	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Kharj-KSA-2598/2015, complete genome
KT806052	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/02	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Kharj-KSA-2599/2015, complete genome
KT806048	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/07	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Khobar-KSA-6736/2015, complete genome
KT806013	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/04/04	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Makkah-KSA-728/2015 spike protein gene, complete cds
KT806015	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/04/13	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Makkah-KSA-907/2015 spike protein gene, complete cds
KT806054	29695	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/13	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Najran-KSA-C20915/2015, complete genome
KT805996	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/21	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Najran-KSA-C22374/2015 spike protein gene, complete cds
KT805991	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/08	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Najran-KSA-Rs1207/2015 spike protein gene, complete cds
KT806022	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/12	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Qunfidhah-KSA-Rs1338/2015 spike protein gene, complete cds
KT805966	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/20	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Quwaiyah-KSA-3405/2015 spike protein gene, complete cds
KT806003	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/13	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Rass-KSA-3318/2015 spike protein gene, complete cds
KT806018	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/09	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-10131/2015 spike protein gene, complete cds
KT806019	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/09	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-10150/2015 spike protein gene, complete cds
KT806020	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/10	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-10182/2015 spike protein gene, complete cds
KX154689	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/01	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-10208/2016, complete genome
KX154684	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11739/2016, complete genome
KX154685	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11740/2016, complete genome
KX154686	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11898/2016, complete genome
KX154687	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-11958/2016, complete genome
KX154688	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-12160/2016, complete genome
KX154691	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02/25	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-12832/2016, complete genome
KX154692	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02/27	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-12969/2016, complete genome
KX154693	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2016/02/29	2017/04/30	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-13127/2016, complete genome
KU851863	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/27	2016/06/27	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16077/2015, complete genome
KU851864	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/24	2016/06/27	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16098/2015, complete genome
KU851862	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/24	2016/06/27	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16117/2015, complete genome
KU851861	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/24	2016/06/27	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16120/2015, complete genome
KU851860	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/24	2016/06/27	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16121/2015, complete genome
KT805961	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/14	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-2264/2015 spike protein gene, complete cds
KT805962	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/18	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-2276/2015 spike protein gene, complete cds
KT805963	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/20	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-2317/2015 spike protein gene, complete cds
KT805964	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/02	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-2600/2015 spike protein gene, complete cds
KT805965	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/03	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-2622A/2015 spike protein gene, complete cds
KT806051	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/05	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-2716/2015, complete genome
KT806050	27121	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/12	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3065/2015, partial genome
KT805969	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/14	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3098/2015 spike protein gene, complete cds
KT805971	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/14	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3123/2015 spike protein gene, complete cds
KT805968	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/15	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3160/2015 spike protein gene, complete cds
KT806049	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/15	2016/01/13	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3181/2015, complete genome
KT805967	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/18	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3331/2015 spike protein gene, complete cds
KT805979	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/21	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3486/2015 spike protein gene, complete cds
KT805980	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/21	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3487/2015 spike protein gene, complete cds
KT805978	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/23	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3550/2015 spike protein gene, complete cds
KT805977	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/23	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3562/2015 spike protein gene, complete cds
KT806005	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/25	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3782/2015 spike protein gene, complete cds
KT805976	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/26	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3929/2015 spike protein gene, complete cds
KT805975	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/28	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-4067/2015 spike protein gene, complete cds
KT805974	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/28	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-4071/2015 spike protein gene, complete cds
KT806007	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/04	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-4606/2015 spike protein gene, complete cds
KT806009	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/08	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-5390/2015 spike protein gene, complete cds
KT806021	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/21	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-6966/2015 spike protein gene, complete cds
KT806010	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/24	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-7179/2015 spike protein gene, complete cds
KT806011	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/25	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-7244/2015 spike protein gene, complete cds
KT806012	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/30	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-7591/2015 spike protein gene, complete cds
KT806014	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/04/04	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-7867/2015 spike protein gene, complete cds
KT805973	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/06	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-C20807/2015 spike protein gene, complete cds
KT026455	30114	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	lung	2015/02/10	2015/06/08	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh_KSA_2959_2015, complete genome
KT026456	30120	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	oronasopharynx	2015/03/01	2015/06/08	Middle East respiratory syndrome coronavirus isolate Hu/Riyadh_KSA_4050_2015, complete genome
KT806008	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/03/04	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Shaqra-KSA-4699/2015 spike protein gene, complete cds
KR912193	4062	S	Homo sapiens	Saudi Arabia	blood	2014/10/27	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-1416/2014 spike protein gene, complete cds
KR912194	4062	S	Homo sapiens	Saudi Arabia	blood	2014/10/27	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-1445/2014 spike protein gene, complete cds
KR912189	4062	S	Homo sapiens	Saudi Arabia	blood	2014/11/11	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-1486/2014 spike protein gene, complete cds
KR912195	4062	S	Homo sapiens	Saudi Arabia	blood	2014/11/12	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-1488/2014 spike protein gene, complete cds
KR912196	4062	S	Homo sapiens	Saudi Arabia	blood	2014/11/22	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-1521/2014 spike protein gene, complete cds
KR912192	4062	S	Homo sapiens	Saudi Arabia	blood	2014/10/24	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-2083/2014 spike protein gene, complete cds
KR912190	4062	S	Homo sapiens	Saudi Arabia	blood	2014/10/27	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-2164/2014 spike protein gene, complete cds
KR912191	4062	S	Homo sapiens	Saudi Arabia	blood	2014/09/10	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-5920/2014 spike protein gene, complete cds
KR912187	4062	S	Homo sapiens	Saudi Arabia	blood	2014/11/28	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-6047/2014 spike protein gene, complete cds
KR912188	4062	S	Homo sapiens	Saudi Arabia	blood	2014/11/04	2015/10/21	Middle East respiratory syndrome coronavirus isolate Hu/Taif,KSA-7032/2014 spike protein gene, complete cds
KT806017	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/05/09	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Taif-KSA-15167/2015 spike protein gene, complete cds
KU710264	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	blood	2014/11/04	2016/08/12	Middle East respiratory syndrome coronavirus isolate Hu/Taif/KSA-7032/2014, complete genome
KU710265	29566	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia	blood	2014/11/04	2016/08/12	Middle East respiratory syndrome coronavirus isolate Hu/Taif/KSA-7032/2014/S530del, complete genome
KT806000	4062	S	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/02/10	2016/01/07	Middle East respiratory syndrome coronavirus isolate Hu/Unayzah-KSA-3249/2015 spike protein gene, complete cds
KJ556336	29890	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/11/06	2014/03/24	Middle East respiratory syndrome coronavirus isolate Jeddah_1_2013, complete genome
KM027260	29874	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014/04/21	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C10306/KSA/2014-04-20, complete genome
KM027263	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7058/KSA/2014 spike protein (S) gene, complete cds
KM027255	29919	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7149/KSA/2014-04-05, complete genome
KM027264	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7209/KSA/2014 spike protein (S) gene, complete cds
KM027265	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7311/KSA/2014 spike protein (S) gene, complete cds
KM027266	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7312/KSA/2014 spike protein (S) gene, complete cds
KM027267	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7319/KSA/2014 spike protein (S) gene, complete cds
KM027268	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7554/KSA/2014 spike protein (S) gene, complete cds
KM027256	29918	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7569/KSA/2014-04-03, complete genome
KM027269	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7720/KSA/2014 spike protein (S) gene, complete cds
KM027257	29774	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014/04/07	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7770/KSA/2014-04-07, complete genome
KM027270	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C7773/KSA/2014 spike protein (S) gene, complete cds
KM027271	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C8237/KSA/2014 spike protein (S) gene, complete cds
KM027272	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C8493/KSA/2014 spike protein (S) gene, complete cds
KM027258	29809	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014/04/12	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C8826/KSA/2014-04-12, complete genome
KM027273	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C8965/KSA/2014 spike protein (S) gene, complete cds
KM027274	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C8978/KSA/2014 spike protein (S) gene, complete cds
KM027259	29918	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014/04/14	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C9055/KSA/2014-04-14, complete genome
KM027275	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C9282/KSA/2014 spike protein (S) gene, complete cds
KM027276	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Jeddah_C9313/KSA/2014 spike protein (S) gene, complete cds
KJ607976	2276	orf1a-orf1ab-orf5-E-N	Camelus dromedarius	Saudi Arabia		2013	2014/06/03	Middle East respiratory syndrome coronavirus isolate Jeddah_Camel1, partial sequence
KJ556337	689	E-M	Camelus dromedarius	Saudi Arabia		2013/11/09	2014/03/24	Middle East respiratory syndrome coronavirus isolate Jeddah_Camel1_2013 E protein gene, complete cds; and M protein gene, partial cds
KJ556340	958	orf1ab-S	Camelus dromedarius	Saudi Arabia		2013/11/09	2014/03/24	Middle East respiratory syndrome coronavirus isolate Jeddah_Camel1_2013 ORF1ab and S protein genes, partial cds
KJ556338	708	orf3	Camelus dromedarius	Saudi Arabia		2013/11/09	2014/03/24	Middle East respiratory syndrome coronavirus isolate Jeddah_Camel1_2013 ORF3 gene, complete cds
KJ556339	491	S	Camelus dromedarius	Saudi Arabia		2013/11/09	2014/03/24	Middle East respiratory syndrome coronavirus isolate Jeddah_Camel1_2013 S protein gene, partial cds
KT121580	29799	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/04/28	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-1, complete genome
KT121578	29785	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/01	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-10, complete genome
KT202801	5220	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2014/04/28	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-11 ORF1a gene, partial cds
KT121577	29896	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/11	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-2, complete genome
KT121573	29896	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/09	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-3, complete genome
KT121575	29896	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/12	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-4, complete genome
KT121572	29896	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/12	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-5, complete genome
KT121576	29896	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/18	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-6, complete genome
KT121581	29751	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/03	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-7, complete genome
KT121579	29751	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/04/30	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-8, complete genome
KT121574	29896	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2014/05/07	2015/11/17	Middle East respiratory syndrome coronavirus isolate KFMC-9, complete genome
KJ650297	30105	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Camelus dromedarius	Saudi Arabia		2013/11/30	2014/04/22	Middle East respiratory syndrome coronavirus isolate KFU-HKU 1, complete genome
